ca_pcgr,ca_ipm,ca_macc,ca_psm,ca_eo,ca_rh,ca_rmi,ca_re,ca_cim,ca_psncc,ca_pa,ca_arat,ca_ipda,ca_mp,ca_ipgm,ca_pe,id
0.4,0.125,0.25,0.088125,0.3333333,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,,,138
0.4,0.0,0.25,0.3,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.5,1.0,0.3333333,0.0,,0.721103,139
0.0,0.375,0.75,0.346875,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,0.70248,140
0.6,0.5,0.25,0.3625,0.3333333,0.5,0.5,0.6,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.715734,141
0.2,0.0,0.25,0.319375,0.3333333,0.0,0.5,0.2,0.0,1.0,0.0,1.0,0.6666667,0.2,1.0,0.783302,142
0.0,0.0,0.0,0.405625,0.3333333,0.0,0.1666667,,0.0,1.0,0.0,1.0,0.0,0.0,,0.661867,143
0.2,0.375,0.0,0.28125,0.0,0.25,0.3333333,0.2,1.0,0.0,0.0,1.0,0.6666667,0.6,,0.689681,144
0.0,0.375,0.0,0.21625,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.5,1.0,0.0,0.2,,0.79824,145
1.0,0.0,0.75,0.221875,0.6666667,0.5,0.5,0.2,0.0,0.0,0.0,1.0,0.3333333,0.0,,0.72533,146
0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.730016,147
,0.0,,,,,,0.2,,,,,,,,0.820911,148
0.4,0.0,0.25,0.415625,0.5,0.5,0.0,0.2,1.0,1.0,0.5,1.0,0.0,0.0,,0.779521,149
0.4,0.25,0.5,0.509375,0.6666667,0.5,0.5,0.6,0.0,1.0,0.0,1.0,1.0,0.4,1.0,0.726477,150
0.6,0.25,0.75,0.328125,0.6666667,0.75,0.5,0.2,0.0,1.0,0.0,1.0,1.0,0.8,0.9983923,0.818073,151
0.0,0.125,0.0,0.69375,0.6666667,0.25,0.5,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,0.4861111,0.70809,152
0.6,0.125,0.75,0.209375,0.3333333,0.0,0.3333333,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.679181,153
0.4,0.375,0.5,0.584375,1.0,0.25,0.5,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.641668,154
0.6,0.375,0.0,0.376875,0.6666667,0.25,0.5,0.2,1.0,0.0,0.0,1.0,0.6666667,0.2,,0.645552,155
0.2,0.375,0.25,0.24375,0.3333333,0.25,0.5,0.2,1.0,0.0,0.0,1.0,1.0,0.8,,0.758314,156
0.8,0.375,0.5,0.299375,0.0,0.0,0.3333333,0.2,1.0,1.0,0.0,0.5,1.0,0.0,,0.634203,157
0.0,0.125,0.25,0.3125,0.6666667,0.5,0.0,0.2,0.0,0.0,0.0,1.0,0.3333333,0.0,,0.649383,158
0.6,0.5,0.0,0.4,0.0,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.63898,159
0.4,0.375,0.0,0.15625,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.3333333,0.2,,0.858068,160
0.2,0.375,0.5,0.27,0.6666667,1.0,0.8333333,0.4,0.0,0.0,0.0,1.0,1.0,0.6,,0.687423,161
0.6,0.125,0.75,0.215625,0.6666667,0.5,0.5,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.851216,162
0.8,0.375,0.25,0.23125,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.772407,163
1.0,0.375,0.25,0.30625,1.0,0.25,0.8333333,0.4,1.0,1.0,0.0,1.0,1.0,0.0,,0.641112,164
0.4,0.25,0.75,0.384375,0.0,0.5,0.3333333,0.2,0.0,1.0,0.0,1.0,0.3333333,0.6,0.7674419,0.781058,165
0.2,0.375,0.25,0.4,0.3333333,0.0,0.1666667,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.869659,166
0.6,0.25,0.75,0.39375,0.6666667,0.25,0.3333333,0.2,1.0,1.0,0.0,1.0,1.0,0.0,,0.653508,167
0.0,0.125,0.0,0.490625,0.3333333,0.0,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.668356,168
0.0,0.125,0.25,0.2375,0.3333333,0.0,0.3333333,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,,0.75838,169
0.4,0.25,0.5,0.503125,0.0,0.0,0.0,0.2,1.0,1.0,0.0,1.0,0.0,0.2,,0.814552,170
0.0,0.375,0.0,0.265625,0.6666667,0.75,0.5,,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.738273,171
0.2,0.375,0.25,0.359375,0.6666667,0.75,0.3333333,0.2,0.0,1.0,0.0,1.0,0.3333333,0.2,,0.73098,172
0.2,0.25,0.25,0.29375,0.6666667,0.75,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.724194,173
0.8,0.25,0.75,0.3125,0.6666667,0.5,0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.77686,174
0.0,0.0,0.25,0.39875,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,0.6666667,0.743126,175
0.0,0.125,0.0,0.240625,0.6666667,0.25,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.834701,176
0.0,0.375,0.0,0.23,0.3333333,0.25,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.702292,177
0.6,0.125,0.25,0.4,0.3333333,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.3333333,0.2,1.0,0.815676,178
0.0,0.0,0.0,0.1625,0.3333333,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,,,179
0.4,0.5,0.0,0.4625,0.3333333,0.0,0.3333333,0.2,0.0,1.0,0.0,1.0,0.0,0.0,,0.736762,180
0.8,0.375,0.75,0.215625,1.0,0.75,0.5,,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.684805,181
0.2,0.125,0.25,0.29375,0.6666667,0.25,0.1666667,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.682923,182
0.4,0.125,0.0,0.36875,0.6666667,0.5,0.5,0.2,0.0,1.0,0.0,1.0,0.0,0.0,,0.666482,183
0.4,0.375,0.25,0.509375,0.3333333,0.5,0.3333333,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,,0.648883,184
0.0,0.0,0.5,0.15625,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,0.829762,185
0.6,0.25,0.25,0.191875,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.0,0.2,,0.785073,186
0.8,0.0,0.75,0.309375,0.3333333,0.25,0.3333333,0.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.735719,187
0.2,0.125,0.25,0.2575,0.6666667,0.25,0.3333333,0.2,1.0,0.0,0.0,0.5,1.0,0.0,,0.795875,188
0.0,0.25,0.25,0.29375,0.3333333,0.5,0.1666667,0.4,0.0,1.0,0.0,1.0,0.3333333,0.2,,0.644169,189
0.0,0.25,0.0,0.21875,0.3333333,0.25,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.625,0.733344,190
0.2,0.125,0.25,0.20625,0.3333333,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,0.772719,191
0.6,0.0,0.25,0.42375,0.3333333,0.5,0.3333333,0.2,0.0,1.0,0.5,1.0,1.0,0.0,,0.661968,192
0.4,0.25,0.0,0.269375,0.6666667,0.75,0.3333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.631117,193
0.0,0.375,0.0,0.315625,0.6666667,0.25,0.1666667,,0.0,0.0,0.0,1.0,1.0,0.0,,0.804343,194
