antiguedad,elevacion,escasez,falla_in,Falta_in,falta_dren,health,ingreso,ponding,CM,PRECIP,id,dens_pop
18,0.2,0.0625,0.129,0.0616,0.074,0.40375,0.69338,2.7525,0.0,926,240,0.19407
18,0.2,0.0625,0.134,0.0745,1.0,2.0625,0.64229,2.75875,0.0,912,241,0.44737
18,0.2,0.0625,0.134,0.0471,1.0,0.29875,0.70169,0.91625,0.0,910,242,0.43519
18,0.4,0.0625,0.134,0.1351,1.0,0.61625,0.64164,1.9775,0.0,967,243,0.40949
18,0.3,0.0625,0.134,0.1162,1.0,0.69,0.68231,0.53875,0.0,951,244,0.30816
18,0.1,0.0625,0.133,0.1099,0.018,0.4475,0.84543,0.19125,0.0,873,245,0.03991
18,0.1,0.0625,0.133,0.0947,1.0,0.2875,0.74345,0.97625,0.0,848,246,0.09369
18,0.3,0.0625,0.133,0.8916,1.0,0.4925,0.86079,1.35625,0.0,929,247,0.45126
18,0.2,0.0625,0.133,0.0588,0.018,0.575,0.7638,1.04125,0.0,922,248,0.35461
33,0.1,0.0625,0.268,0.575,1.0,0.36375,0.71592,1.03125,0.0,832,249,0.21561
18,0.1,0.0625,0.133,0.2222,0.018,0.80375,0.73702,1.69625,0.0,835,250,0.516
33,0.1,0.0625,0.269,0.1285,1.0,0.20875,0.81403,2.0275,0.0,838,251,0.20797
64,0.0,0.0625,0.541,0.0496,0.077,1.01,0.77852,2.4575,0.001227,815,252,0.67003
64,0.0,0.0625,0.542,0.0319,0.018,1.56375,0.80398,3.19125,0.00251,814,253,0.32139
33,0.1,0.0625,0.27,0.0513,0.074,0.32125,0.71011,2.86625,0.000781,850,254,0.37842
18,0.1,0.0625,0.135,1.0,0.077,0.14,0.7322,1.74125,0.000697,872,255,0.08533
33,0.2,0.0625,0.268,0.2235,0.018,0.2925,0.73615,2.915,0.0,875,256,0.3538
18,0.3,0.0625,0.13,0.2256,0.074,0.30125,0.71226,3.00625,0.0,950,257,0.20677
18,0.3,0.0625,0.132,0.7031,0.086,0.305,0.65491,1.6125,0.0,943,258,0.08508
18,0.2,0.0625,0.133,0.0216,0.018,0.20125,0.67085,2.6625,0.0,921,259,0.31416
18,0.3,0.0625,0.133,0.0782,0.074,0.1875,0.7038,2.0975,0.0,920,260,0.54368
18,0.2,0.0625,0.133,0.0403,0.074,0.1675,0.78349,1.79625,0.0,893,261,0.24876
18,0.2,0.0625,0.133,0.3547,0.076,0.76375,0.82127,1.425,0.0,883,262,0.27428
18,0.1,0.0625,0.133,0.0283,0.074,0.36375,0.82867,1.3275,0.0,861,263,0.07915
9,0.2,0.0625,0.035,0.0235,0.018,0.005,0.864,1.29875,0.00318,929,264,0.00083
18,0.1,0.0625,0.135,0.0139,0.018,0.35125,0.82237,1.62375,0.001088,888,265,0.11537
18,0.1,0.0625,0.134,0.0284,0.074,0.95,0.7849,1.19375,0.0,865,266,0.14082
